,drafted,total,stars,fraction
0,1,510,1,0.00196078431372549
1,282,15121,2,0.018649560214271544
2,368,5416,3,0.06794682422451995
3,560,5385,3+,0.10399257195914577
4,191,4876,3-,0.039171452009844135
5,843,3529,4,0.23887786908472655
6,299,541,5,0.5526802218114603
