id,name,conference,nat_rank,commits,five_star,four_star,three_star,avg,points,year
0,Tennessee,SEC,1,27,5,6,0,81.29,252.66,2000
1,Florida,SEC,2,30,3,7,0,79.33,239.17,2000
2,Florida State,ACC,3,22,5,4,0,81.62,225.16,2000
3,Alabama,SEC,4,31,3,5,0,77.08,199.31,2000
4,Penn State,Big-Ten,5,30,0,8,0,77.25,196.61,2000
5,Texas,Big-12,6,23,4,3,0,78.72,185.94,2000
6,Miami,ACC,7,19,3,3,0,78.95,161.25,2000
7,Michigan State,Big-Ten,8,23,2,3,0,76.17,136.95,2000
8,Ohio State,Big-Ten,9,28,3,1,0,74.09,112.1,2000
9,Notre Dame,Ind.,10,18,0,4,0,76.06,106.88,2000
10,Stanford,Pac-12,11,14,1,2,0,76.13,85.01,2000
11,USC,Pac-12,12,20,1,2,0,74.24,83.99,2000
12,Colorado,Pac-12,13,21,1,2,0,74,83.19,2000
13,UCLA,Pac-12,14,14,1,2,0,75.89,81.61,2000
14,Auburn,SEC,15,34,1,2,0,72.38,80.07,2000
15,Arkansas,SEC,16,25,0,3,0,73.23,79.86,2000
16,Nebraska,Big-Ten,17,21,1,1,0,72.66,55.63,2000
17,Syracuse,ACC,18,28,1,1,0,71.98,55.14,2000
18,Georgia Tech,ACC,19,21,0,2,0,72.6,54.41,2000
19,Arizona State,Pac-12,20,29,0,2,0,71.87,54.19,2000
20,LSU,SEC,21,26,0,2,0,72.08,54.01,2000
21,Kentucky,SEC,22,19,1,0,0,71.55,29.46,2000
22,Georgia,SEC,23,17,1,0,0,71.7,28.9,2000
23,Oklahoma,Big-12,24,27,1,0,0,71.06,28.69,2000
24,TCU,Big-12,25,18,1,0,0,71.59,28.69,2000
25,Virginia,ACC,26,22,1,0,0,71.29,28.47,2000
26,Michigan,Big-Ten,27,21,0,1,0,71.33,27.91,2000
27,Kansas State,Big-12,28,17,0,1,0,71.63,27.63,2000
28,Washington,Pac-12,29,27,0,1,0,71.02,27.47,2000
29,Iowa,Big-Ten,30,19,0,1,0,71.44,27.45,2000
30,Texas A&M,SEC,31,22,0,1,0,71.25,27.41,2000
31,Boston College,ACC,32,19,0,1,0,71.44,27.33,2000
32,Clemson,ACC,33,12,0,1,0,72.26,27.15,2000
33,Wisconsin,Big-Ten,34,25,0,1,0,71.08,27.03,2000
34,Maryland,Big-Ten,35,25,0,1,0,71.06,26.47,2000
35,Vanderbilt,SEC,36,18,0,1,0,71.47,26.39,2000
36,Virginia Tech,ACC,37,23,0,1,0,71.14,26.29,2000
37,Indiana,Big-Ten,38,23,0,1,0,71.14,26.27,2000
38,Arizona,Pac-12,39,1,0,1,0,96.22,26.22,2000
39,Oklahoma State,Big-12,40,29,0,1,0,70.9,26.18,2000
40,Ole Miss,SEC,41,25,0,1,0,71.04,26.1,2000
41,Pittsburgh,ACC,42,21,0,1,0,71.24,26.02,2000
42,Wyoming,M-West,43,22,0,0,0,70,0,2000
43,Minnesota,Big-Ten,44,24,0,0,0,70,0,2000
44,Oregon State,Pac-12,44,19,0,0,0,70,0,2000
45,Tulane,AAC,44,6,0,0,0,70,0,2000
46,Duke,ACC,44,24,0,0,0,70,0,2000
47,Fresno State,M-West,44,22,0,0,0,70,0,2000
48,Missouri,SEC,44,28,0,0,0,70,0,2000
49,Temple,AAC,44,18,0,0,0,70,0,2000
50,Nevada,M-West,44,23,0,0,0,70,0,2000
51,Baylor,Big-12,44,23,0,0,0,70,0,2000
52,Memphis,AAC,44,24,0,0,0,70,0,2000
53,UTEP,C-USA,44,21,0,0,0,70,0,2000
54,Louisville,ACC,44,23,0,0,0,70,0,2000
55,Purdue,Big-Ten,44,22,0,0,0,70,0,2000
56,San Jose State,M-West,44,24,0,0,0,70,0,2000
57,Washington State,Pac-12,44,29,0,0,0,70,0,2000
58,Illinois,Big-Ten,44,23,0,0,0,70,0,2000
59,South Carolina,SEC,44,23,0,0,0,70,0,2000
60,Miami (OH),MAC,44,1,0,0,0,70,0,2000
61,BYU,Ind.,44,24,0,0,0,70,0,2000
62,Mississippi State,SEC,44,25,0,0,0,70,0,2000
63,Idaho State,,44,1,0,0,0,70,0,2000
64,Rice,C-USA,44,16,0,0,0,70,0,2000
65,UAB,C-USA,44,2,0,0,0,70,0,2000
66,Louisiana Tech,C-USA,44,2,0,0,0,70,0,2000
67,New Mexico,M-West,44,24,0,0,0,70,0,2000
68,SMU,AAC,44,17,0,0,0,70,0,2000
69,Wake Forest,ACC,44,1,0,0,0,70,0,2000
70,Hawaii,M-West,44,21,0,0,0,70,0,2000
71,UCF,AAC,44,25,0,0,0,70,0,2000
72,Cincinnati,AAC,44,20,0,0,0,70,0,2000
73,West Virginia,Big-12,44,21,0,0,0,70,0,2000
74,Iowa State,Big-12,44,24,0,0,0,70,0,2000
75,Rutgers,Big-Ten,44,19,0,0,0,70,0,2000
76,Southern Miss,C-USA,44,28,0,0,0,70,0,2000
77,Tulsa,AAC,44,24,0,0,0,70,0,2000
78,Houston,AAC,44,28,0,0,0,70,0,2000
79,North Carolina,ACC,44,19,0,0,0,70,0,2000
80,Utah,Pac-12,44,32,0,0,0,70,0,2000
81,Northwestern,Big-Ten,44,18,0,0,0,70,0,2000
82,East Carolina,AAC,44,14,0,0,0,70,0,2000
83,UNLV,M-West,44,19,0,0,0,70,0,2000
84,Kansas,Big-12,44,26,0,0,0,70,0,2000
85,San Diego State,M-West,44,28,0,0,0,70,0,2000
86,NC State,ACC,44,18,0,0,0,70,0,2000
87,Colorado State,M-West,44,14,0,0,0,70,0,2000
88,California,Pac-12,44,25,0,0,0,70,0,2000
89,Texas Tech,Big-12,44,20,0,0,0,70,0,2000
90,Oregon,Pac-12,44,27,0,0,0,70,0,2000
91,Florida State,ACC,1,11,5,6,0,98.27,256.86,2001
92,LSU,SEC,2,26,5,3,0,78.77,206.53,2001
93,Michigan,Big-Ten,3,22,3,5,0,80.26,204.24,2001
94,Tennessee,SEC,4,21,4,3,0,79.45,184.16,2001
95,Oklahoma,Big-12,5,30,1,5,0,75.48,155.82,2001
96,Ohio State,Big-Ten,6,17,0,6,0,79.65,155.45,2001
97,Auburn,SEC,7,29,2,3,0,74.52,126.96,2001
98,Miami,ACC,8,5,1,3,0,92.54,110.37,2001
99,Arkansas,SEC,9,23,1,3,0,74.89,110.15,2001
100,Georgia,SEC,10,27,1,3,0,74.16,109.9,2001
101,Texas,Big-12,11,21,1,3,0,75.31,109.14,2001
102,Notre Dame,Ind.,12,19,1,3,0,75.81,108.06,2001
103,UCLA,Pac-12,13,20,1,3,0,75.46,106.91,2001
104,Stanford,Pac-12,14,17,2,1,0,75.03,84.71,2001
105,Washington,Pac-12,15,25,1,2,0,73.4,84.23,2001
106,Virginia Tech,ACC,16,24,1,2,0,73.48,82.72,2001
107,Penn State,Big-Ten,17,23,0,3,0,73.54,80.65,2001
108,Kansas State,Big-12,18,28,0,3,0,72.89,80.08,2001
109,Clemson,ACC,19,2,2,0,0,99.09,58,2001
110,USC,Pac-12,20,18,1,1,0,73.2,57.46,2001
111,Iowa,Big-Ten,21,22,2,0,0,72.6,56.95,2001
112,Wisconsin,Big-Ten,22,26,1,1,0,72.17,56.14,2001
113,Ole Miss,SEC,23,21,1,1,0,72.66,55.6,2001
114,Oregon State,Pac-12,24,24,0,2,0,72.32,55.53,2001
115,South Carolina,SEC,25,17,0,2,0,73.19,54.01,2001
116,Northwestern,Big-Ten,26,22,0,2,0,72.41,52.85,2001
117,Arizona,Pac-12,27,2,0,2,0,96.41,52.65,2001
118,Alabama,SEC,28,20,1,0,0,71.49,29.86,2001
119,Syracuse,ACC,29,19,1,0,0,71.54,29.2,2001
120,Virginia,ACC,30,3,1,0,0,79.57,28.71,2001
121,Texas A&M,SEC,31,21,1,0,0,71.36,28.63,2001
122,California,Pac-12,32,1,1,0,0,98.61,28.61,2001
123,Missouri,SEC,33,23,0,1,0,71.2,27.69,2001
124,Oregon,Pac-12,34,20,0,1,0,71.38,27.69,2001
125,Memphis,AAC,35,19,0,1,0,71.45,27.59,2001
126,Colorado,Pac-12,36,1,0,1,0,97.51,27.51,2001
127,North Carolina,ACC,37,1,0,1,0,97.39,27.39,2001
128,Pittsburgh,ACC,38,25,0,1,0,71.08,27.03,2001
129,Nebraska,Big-Ten,39,19,0,1,0,71.42,26.91,2001
130,Illinois,Big-Ten,40,23,0,1,0,71.17,26.83,2001
131,Purdue,Big-Ten,41,21,0,1,0,71.28,26.81,2001
132,Arizona State,Pac-12,42,1,0,1,0,96.63,26.63,2001
133,NC State,ACC,43,1,0,1,0,96.51,26.51,2001
134,Michigan State,Big-Ten,44,21,0,1,0,71.26,26.51,2001
135,Mississippi State,SEC,45,23,0,1,0,71.15,26.35,2001
136,Colorado State,M-West,46,21,0,1,0,71.25,26.31,2001
137,Florida,SEC,47,17,0,1,0,71.54,26.18,2001
138,Boston College,ACC,48,1,0,1,0,96.14,26.14,2001
139,Vanderbilt,SEC,49,26,0,1,0,71,26.02,2001
140,Middle Tennessee State,C-USA,50,1,0,1,0,93.82,23.82,2001
141,Akron,MAC,51,1,0,0,0,70,0,2001
142,Iowa State,Big-12,51,24,0,0,0,70,0,2001
143,Louisiana Tech,C-USA,51,25,0,0,0,70,0,2001
144,Maryland,Big-Ten,51,1,0,0,0,70,0,2001
145,New Mexico,M-West,51,26,0,0,0,70,0,2001
146,Rice,C-USA,51,12,0,0,0,70,0,2001
147,Oklahoma State,Big-12,51,25,0,0,0,70,0,2001
148,Connecticut,Ind.,51,1,0,0,0,70,0,2001
149,Kansas,Big-12,51,26,0,0,0,70,0,2001
150,Tulane,AAC,51,21,0,0,0,70,0,2001
151,Southeast Missouri State,,51,1,0,0,0,70,0,2001
152,Texas Tech,Big-12,51,24,0,0,0,70,0,2001
153,San Diego State,M-West,51,22,0,0,0,70,0,2001
154,Western Michigan,MAC,51,1,0,0,0,70,0,2001
155,Wyoming,M-West,51,25,0,0,0,70,0,2001
156,Kentucky,SEC,51,18,0,0,0,70,0,2001
157,Hawaii,M-West,51,21,0,0,0,70,0,2001
158,Cincinnati,AAC,51,1,0,0,0,70,0,2001
159,West Virginia,Big-12,51,21,0,0,0,70,0,2001
160,Southern Miss,C-USA,51,30,0,0,0,70,0,2001
161,Saginaw Valley State,,51,1,0,0,0,70,0,2001
162,Washington State,Pac-12,51,29,0,0,0,70,0,2001
163,Georgia Tech,ACC,51,1,0,0,0,70,0,2001
164,UNLV,M-West,51,16,0,0,0,70,0,2001
165,Villanova,,51,1,0,0,0,70,0,2001
166,Troy,SBC,51,1,0,0,0,70,0,2001
167,Houston,AAC,51,29,0,0,0,70,0,2001
168,Fresno State,M-West,51,25,0,0,0,70,0,2001
169,SMU,AAC,51,20,0,0,0,70,0,2001
170,Toledo,MAC,51,2,0,0,0,70,0,2001
171,Minnesota,Big-Ten,51,22,0,0,0,70,0,2001
172,UTEP,C-USA,51,25,0,0,0,70,0,2001
173,UAB,C-USA,51,33,0,0,0,70,0,2001
174,UC Davis,,51,1,0,0,0,70,0,2001
175,TCU,Big-12,51,16,0,0,0,70,0,2001
176,Louisville,ACC,51,23,0,0,0,70,0,2001
177,Northern Colorado,,51,1,0,0,0,70,0,2001
178,Indiana,Big-Ten,51,21,0,0,0,70,0,2001
179,Rutgers,Big-Ten,51,20,0,0,0,70,0,2001
180,Temple,AAC,51,30,0,0,0,70,0,2001
181,Tulsa,AAC,51,23,0,0,0,70,0,2001
182,Harvard,,51,1,0,0,0,70,0,2001
183,Nevada,M-West,51,24,0,0,0,70,0,2001
184,East Carolina,AAC,51,26,0,0,0,70,0,2001
185,Abilene Christian,,51,1,0,0,0,70,0,2001
186,Utah,Pac-12,51,25,0,0,0,70,0,2001
187,San Jose State,M-West,51,29,0,0,0,70,0,2001
188,Western Washington,,,1,0,0,0,70,0,2001
189,Texas,Big-12,1,26,4,13,8,91.04,305.24,2002
190,Florida State,ACC,2,23,6,11,3,91.1,303.14,2002
191,Tennessee,SEC,3,22,3,12,7,92.32,299.26,2002
192,Ohio State,Big-Ten,4,24,4,11,9,89.7,277.57,2002
193,Miami,ACC,5,25,2,15,7,89.84,274.87,2002
194,Oklahoma,Big-12,6,20,1,12,7,91.01,273.53,2002
195,UCLA,Pac-12,7,26,1,12,13,88.07,258.06,2002
196,USC,Pac-12,8,21,1,9,11,88.33,250.9,2002
197,Georgia,SEC,9,30,1,8,18,86.48,244.84,2002
198,Florida,SEC,10,22,1,8,9,86.15,236.73,2002
199,Virginia,ACC,11,25,2,4,19,86.27,235.48,2002
200,Notre Dame,Ind.,12,18,0,10,7,88.53,235.46,2002
201,South Carolina,SEC,13,27,1,5,18,85.52,234.8,2002
202,Michigan,Big-Ten,14,20,1,7,12,87.21,230.11,2002
203,Mississippi State,SEC,15,29,2,5,12,83.32,226.35,2002
204,Auburn,SEC,16,28,1,7,16,84.36,226.3,2002
205,Washington,Pac-12,17,20,1,6,13,86.3,218.86,2002
206,Texas A&M,SEC,18,23,1,6,15,85.78,218.74,2002
207,Colorado,Pac-12,19,30,0,7,20,84.22,218.56,2002
208,Kansas State,Big-12,20,30,0,6,19,84.22,216.77,2002
209,LSU,SEC,21,23,0,7,15,85.22,210.17,2002
210,Penn State,Big-Ten,22,23,0,6,15,84.54,207.39,2002
211,Ole Miss,SEC,23,18,0,4,13,85.56,193.5,2002
212,Arizona State,Pac-12,24,29,0,4,19,82.3,193.35,2002
213,Arkansas,SEC,25,16,0,5,9,85.76,191.28,2002
214,Missouri,SEC,26,22,0,5,13,83.49,190.06,2002
215,Michigan State,Big-Ten,27,19,0,3,13,83.58,182.39,2002
216,Pittsburgh,ACC,28,22,0,4,14,82.76,181.22,2002
217,Clemson,ACC,29,21,0,3,13,82.7,179.37,2002
218,Maryland,Big-Ten,30,21,0,2,18,83.65,176.61,2002
219,Oklahoma State,Big-12,31,27,0,2,16,81.89,176.17,2002
220,Stanford,Pac-12,32,16,2,2,7,83.8,175.79,2002
221,Arizona,Pac-12,33,28,0,1,18,81.55,175.32,2002
222,Texas Tech,Big-12,34,22,0,2,18,82.73,173.15,2002
223,Nebraska,Big-Ten,35,18,0,2,12,83.16,172.33,2002
224,Baylor,Big-12,36,25,0,1,19,81.87,168.66,2002
225,BYU,Ind.,37,21,1,3,5,81.26,167.84,2002
226,Iowa State,Big-12,38,21,0,3,9,81.75,166.21,2002
227,Boston College,ACC,39,18,0,4,11,81.83,160.57,2002
228,Houston,AAC,40,24,0,1,16,81.11,159.33,2002
229,UCF,AAC,41,21,0,3,7,80.95,156.61,2002
230,Illinois,Big-Ten,42,21,0,1,13,81.11,155.41,2002
231,Virginia Tech,ACC,43,18,1,1,9,81.62,154.53,2002
232,Oregon,Pac-12,44,19,1,1,6,81.03,154.47,2002
233,Oregon State,Pac-12,45,20,0,3,8,80.94,153.38,2002
234,NC State,ACC,46,15,0,3,3,82.14,149.75,2002
235,Alabama,SEC,47,13,0,4,7,83.59,147.97,2002
236,Washington State,Pac-12,48,23,0,4,3,79.86,147.73,2002
237,North Carolina,ACC,49,23,0,0,16,80.43,143.32,2002
238,West Virginia,Big-12,50,28,0,1,13,79.4,141.52,2002
239,Southern Miss,C-USA,51,28,0,3,5,79.05,141.15,2002
240,Purdue,Big-Ten,52,23,0,2,11,79.71,137.02,2002
241,Georgia Tech,ACC,53,16,0,2,9,80.83,136.09,2002
242,Louisville,ACC,54,19,0,2,5,80,135.36,2002
243,Kansas,Big-12,55,19,0,1,8,80.18,134.82,2002
244,Wisconsin,Big-Ten,56,25,0,1,11,79.07,129.47,2002
245,Memphis,AAC,57,24,0,2,4,78.61,128.75,2002
246,San Jose State,M-West,58,14,0,4,1,80.95,126.74,2002
247,Middle Tennessee State,C-USA,59,23,0,1,6,78.84,124.79,2002
248,San Diego State,M-West,60,12,0,2,4,81.39,117.81,2002
249,Rutgers,Big-Ten,61,13,0,2,4,80.77,117.69,2002
250,TCU,Big-12,62,16,0,0,7,79.38,113.44,2002
251,Northwestern,Big-Ten,63,20,0,1,6,78.5,111.17,2002
252,Hawaii,M-West,64,18,0,1,3,78.33,109.63,2002
253,Tulane,AAC,65,23,0,0,8,78.12,108.31,2002
254,Tulsa,AAC,66,19,0,0,5,78.42,107.69,2002
255,Duke,ACC,67,22,0,1,4,78.03,106.65,2002
256,Colorado State,M-West,68,25,0,0,5,77.73,104.1,2002
257,Vanderbilt,SEC,69,20,0,0,5,77.67,95.67,2002
258,Nevada,M-West,70,17,0,1,1,77.84,93.48,2002
259,New Mexico,M-West,71,17,0,0,3,77.84,93.32,2002
260,Indiana,Big-Ten,72,19,0,0,4,77.54,91.93,2002
261,UAB,C-USA,73,28,0,1,0,77.14,91.7,2002
262,Minnesota,Big-Ten,74,23,0,0,4,77.25,90.65,2002
263,Arkansas State,SBC,75,21,0,1,0,77.3,90.16,2002
264,Cincinnati,AAC,76,23,0,0,2,77.1,87.58,2002
265,SMU,AAC,77,24,0,0,1,76.94,84.52,2002
266,Western Michigan,MAC,78,23,0,0,1,76.96,84.27,2002
267,UNLV,M-West,79,22,0,0,1,76.97,83.93,2002
268,Wyoming,M-West,80,15,0,1,0,77.56,83.82,2002
269,Bowling Green,MAC,81,18,0,0,1,77.04,81.31,2002
270,East Carolina,AAC,82,16,0,0,2,76.88,80.47,2002
271,Temple,AAC,83,16,0,0,1,77.08,78.82,2002
272,Idaho,,84,23,0,0,0,76.38,77.27,2002
273,Eastern Michigan,MAC,85,22,0,0,0,76.67,77.27,2002
274,Louisiana-Monroe,SBC,86,21,0,0,0,76.67,76.83,2002
275,Akron,MAC,87,21,0,0,0,76.67,76.83,2002
276,Boise State,M-West,88,22,0,0,0,76.36,76.83,2002
277,Buffalo,MAC,89,20,0,0,0,76.67,76.26,2002
278,Utah State,M-West,90,15,0,0,1,76.67,75.17,2002
279,Central Michigan,MAC,91,17,0,0,0,76.67,73.52,2002
280,Northern Illinois,MAC,92,16,0,0,0,76.67,72.15,2002
281,Connecticut,Ind.,93,13,0,0,1,76.15,66.92,2002
282,Louisiana,SBC,94,11,0,0,0,76.67,60.25,2002
283,Miami (OH),MAC,95,11,0,0,0,76.67,60.25,2002
284,Marshall,C-USA,96,11,0,0,0,76.67,60.25,2002
285,Utah,Pac-12,97,7,0,0,3,79.05,59.74,2002
286,USF,AAC,98,9,0,0,1,77.41,59.28,2002
287,Louisiana Tech,C-USA,99,6,0,1,0,77.78,45.48,2002
288,Army,Ind.,100,6,0,0,1,77.22,41.19,2002
289,Toledo,MAC,101,4,0,0,1,77.5,29.44,2002
290,North Texas,C-USA,102,3,0,0,1,78.89,26.46,2002
291,New Mexico State,Ind.,103,3,0,0,0,76.67,19.8,2002
292,Wake Forest,ACC,104,3,0,0,0,76.67,19.8,2002
293,Ohio,MAC,105,2,0,0,0,76.67,13.29,2002
294,Kent State,MAC,106,1,0,0,0,76.67,6.67,2002
295,Troy,SBC,107,1,0,0,0,76.67,6.67,2002
296,Navy,AAC,108,1,0,0,0,76.67,6.67,2002
297,FIU,C-USA,109,1,0,0,0,76.67,6.67,2002
298,Air Force,M-West,110,1,0,0,0,76.67,6.67,2002
299,Fresno State,M-West,111,1,0,0,0,70,0,2002
300,Howard,,111,1,0,0,0,70,0,2002
301,Cornell,,111,1,0,0,0,70,0,2002
302,Bloomsburg,,111,1,0,0,0,70,0,2002
303,Kentucky,SEC,111,15,0,0,0,70,0,2002
304,UTEP,C-USA,111,1,0,0,0,70,0,2002
305,Maine,,111,1,0,0,0,70,0,2002
306,Eastern Washington,,111,1,0,0,0,70,0,2002
307,Weber State,,111,1,0,0,0,70,0,2002
308,Monmouth,,111,1,0,0,0,70,0,2002
309,Hofstra,,,2,0,0,0,70,0,2002
310,Florida,SEC,1,26,6,8,12,89.96,298.36,2003
311,USC,Pac-12,2,26,2,12,11,89.4,288.61,2003
312,LSU,SEC,3,28,0,17,11,89.84,282.27,2003
313,Miami,ACC,4,22,3,9,9,88.74,257.73,2003
314,Michigan,Big-Ten,5,16,2,9,4,91.35,255.1,2003
315,Oklahoma,Big-12,6,20,2,7,10,88.64,247.77,2003
316,Notre Dame,Ind.,7,21,1,8,12,87.78,239.52,2003
317,Texas,Big-12,8,18,1,8,9,88.64,237.4,2003
318,Georgia,SEC,9,23,2,5,14,86.41,236.21,2003
319,Tennessee,SEC,10,18,1,7,8,87.43,231.39,2003
320,Virginia,ACC,11,21,0,6,12,85.39,220.34,2003
321,South Carolina,SEC,12,27,1,4,18,83.8,211.16,2003
322,Mississippi State,SEC,13,28,1,3,19,83.1,208.22,2003
323,Texas A&M,SEC,14,23,1,3,19,85.53,207.47,2003
324,Florida State,ACC,15,15,2,4,9,87.53,203.95,2003
325,Auburn,SEC,16,25,0,4,18,84.3,200.29,2003
326,NC State,ACC,17,20,0,4,13,84.25,194.13,2003
327,North Carolina,ACC,18,22,0,3,19,84.13,192.52,2003
328,Colorado,Pac-12,19,24,0,1,23,83.92,185.54,2003
329,Washington,Pac-12,20,25,0,2,20,83.05,184.69,2003
330,Oklahoma State,Big-12,21,29,0,2,20,82.12,183.97,2003
331,Arizona State,Pac-12,22,21,0,3,16,83.52,183.77,2003
332,Illinois,Big-Ten,23,26,0,2,15,81.71,180.52,2003
333,California,Pac-12,24,26,0,1,22,82.82,180.46,2003
334,Maryland,Big-Ten,25,20,1,1,15,83.19,179.95,2003
335,Stanford,Pac-12,26,21,0,3,11,82.63,179.93,2003
336,Virginia Tech,ACC,27,20,0,4,10,82.5,174.88,2003
337,Purdue,Big-Ten,28,24,0,2,15,81.84,174.87,2003
338,UCLA,Pac-12,29,18,0,4,11,83.22,174.6,2003
339,Oregon,Pac-12,30,23,0,2,16,82.12,172.47,2003
340,Wisconsin,Big-Ten,31,21,1,1,11,81.86,170.37,2003
341,Boston College,ACC,32,24,0,2,21,82.54,170.35,2003
342,Kansas State,Big-12,33,16,0,4,10,83.75,167.35,2003
343,Ole Miss,SEC,34,21,1,0,15,82,166.37,2003
344,Nebraska,Big-Ten,35,19,0,2,15,83.16,166.25,2003
345,Rutgers,Big-Ten,36,25,1,1,13,80.78,164.34,2003
346,Missouri,SEC,37,23,0,1,19,81.88,163.47,2003
347,Georgia Tech,ACC,38,21,0,2,13,81.49,159.66,2003
348,Arizona,Pac-12,39,26,0,1,18,81.03,159.32,2003
349,Iowa,Big-Ten,40,22,0,1,13,81.23,158.53,2003
350,Alabama,SEC,41,16,0,3,9,82.71,156.58,2003
351,Arkansas,SEC,42,21,0,1,14,81.43,155.43,2003
352,Clemson,ACC,43,18,0,2,14,82.22,153.65,2003
353,Kansas,Big-12,44,25,0,0,18,80.67,151.57,2003
354,Minnesota,Big-Ten,45,25,0,2,12,80.13,149.65,2003
355,Ohio State,Big-Ten,46,6,2,4,0,95.99,148.26,2003
356,Pittsburgh,ACC,47,26,0,0,19,80.51,147.62,2003
357,Penn State,Big-Ten,48,11,0,3,7,85.19,144.63,2003
358,Louisville,ACC,49,21,1,0,9,79.81,137.31,2003
359,SMU,AAC,50,23,0,0,10,79.57,134.26,2003
360,Washington State,Pac-12,51,18,0,0,11,80.37,133.59,2003
361,San Diego State,M-West,52,28,0,2,6,78.69,131.79,2003
362,Louisiana Tech,C-USA,53,17,0,0,14,80.78,130.03,2003
363,West Virginia,Big-12,54,21,0,0,13,79.68,129.6,2003
364,Syracuse,ACC,55,23,0,1,9,79.13,128.96,2003
365,Iowa State,Big-12,56,22,0,0,12,79.39,127.9,2003
366,Baylor,Big-12,57,22,0,0,13,79.39,126.41,2003
367,Tulane,AAC,58,21,0,0,11,79.37,126.36,2003
368,Houston,AAC,59,21,0,0,11,79.37,125.88,2003
369,Wake Forest,ACC,60,19,0,0,10,79.65,125.47,2003
370,BYU,Ind.,61,13,1,1,4,81.23,123.78,2003
371,Oregon State,Pac-12,62,20,0,0,10,79.33,123.52,2003
372,Temple,AAC,63,27,0,1,4,78.27,120.41,2003
373,Memphis,AAC,64,21,0,0,8,78.73,117.27,2003
374,Vanderbilt,SEC,65,22,0,1,5,78.48,116.07,2003
375,UNLV,M-West,66,24,0,1,4,78.19,113.89,2003
376,Northwestern,Big-Ten,67,22,0,0,8,78.33,111.31,2003
377,Michigan State,Big-Ten,68,19,0,0,10,78.77,110.52,2003
378,TCU,Big-12,69,19,0,0,7,78.6,110.37,2003
379,UCF,AAC,70,27,0,0,8,77.9,109,2003
380,Texas Tech,Big-12,71,11,0,2,4,81.21,108.77,2003
381,Fresno State,M-West,72,19,0,0,5,78.42,108,2003
382,Tulsa,AAC,73,21,0,1,3,77.94,103.19,2003
383,Colorado State,M-West,74,21,0,0,9,78.1,103.13,2003
384,Utah,Pac-12,75,18,0,0,7,78.33,102.89,2003
385,Indiana,Big-Ten,76,19,0,0,6,78.07,101.12,2003
386,Nevada,M-West,77,24,0,1,1,77.5,97.84,2003
387,USF,AAC,78,28,0,0,5,77.38,97.77,2003
388,Middle Tennessee State,C-USA,79,28,0,0,5,77.38,97.77,2003
389,Southern Miss,C-USA,80,20,0,0,4,77.67,95.96,2003
390,North Texas,C-USA,81,24,0,0,2,77.36,94.48,2003
391,Hawaii,M-West,82,21,0,0,4,77.46,93.21,2003
392,Arkansas State,SBC,83,20,0,1,1,77.5,92.91,2003
393,San Jose State,M-West,84,19,0,0,3,77.54,92.09,2003
394,Central Michigan,MAC,85,19,0,0,3,77.54,92.09,2003
395,Duke,ACC,86,12,0,0,7,79.17,91.65,2003
396,Rice,C-USA,87,18,0,0,4,77.59,91.03,2003
397,Troy,SBC,88,24,0,0,4,77.22,90.91,2003
398,Utah State,M-West,89,23,0,0,3,77.25,90.83,2003
399,Louisiana,SBC,90,22,0,0,2,77.27,90.56,2003
400,Bowling Green,MAC,91,22,0,0,4,77.27,90.32,2003
401,Idaho,,92,20,0,0,4,77.33,89.31,2003
402,New Mexico,M-West,93,19,0,0,3,77.37,88.78,2003
403,Connecticut,Ind.,94,18,0,0,4,77.41,87.69,2003
404,UAB,C-USA,95,27,0,0,2,76.91,84.94,2003
405,Cincinnati,AAC,96,20,0,0,1,77,82.93,2003
406,Toledo,MAC,97,20,0,0,2,77,82.91,2003
407,East Carolina,AAC,98,19,0,0,2,77.02,82.19,2003
408,Marshall,C-USA,99,16,0,0,3,77.29,82.05,2003
409,Northern Illinois,MAC,100,20,0,0,1,76.83,79.6,2003
410,Army,Ind.,101,20,0,0,1,76.83,79.6,2003
411,Akron,MAC,102,19,0,0,1,76.84,78.88,2003
412,Kent State,MAC,103,30,0,0,0,76.67,78.45,2003
413,Western Michigan,MAC,104,18,0,0,1,76.85,77.98,2003
414,Louisiana-Monroe,SBC,105,23,0,0,0,76.67,77.6,2003
415,New Mexico State,Ind.,106,12,0,0,2,77.78,76.7,2003
416,Eastern Michigan,MAC,107,18,0,0,0,76.67,74.64,2003
417,Wyoming,M-West,108,17,0,0,0,76.67,73.52,2003
418,Buffalo,MAC,109,17,0,0,0,76.67,73.52,2003
419,Boise State,M-West,110,14,0,0,1,76.9,71.83,2003
420,Ball State,MAC,111,14,0,0,0,76.67,68.5,2003
421,Miami (OH),MAC,112,14,0,0,0,76.67,68.5,2003
422,Ohio,MAC,113,13,0,0,0,76.67,66.15,2003
423,UTEP,C-USA,114,12,0,0,0,76.67,63.41,2003
424,Navy,AAC,115,11,0,0,0,76.67,60.25,2003
425,Kentucky,SEC,116,1,0,1,0,92.68,22.68,2003
426,Air Force,M-West,117,2,0,0,0,76.67,13.29,2003
427,Southern Illinois,,118,1,0,0,0,76.67,6.67,2003
428,Maine,,,1,0,0,,0,0,2003
429,Montana,,,1,0,0,,0,0,2003
430,New Hampshire,,,1,0,0,,0,0,2003
431,Towson,,,1,0,0,,0,0,2003
432,Bethune-Cookman,,,1,0,0,,0,0,2003
433,Hampton,,,1,0,0,,0,0,2003
434,Massachusetts,Ind.,,1,0,0,,0,0,2003
